id,code,name,type,parent_code,create_time,update_time,is_deleted
2518,511803,名山区,COUNTY,5118,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2519,511822,荥经县,COUNTY,5118,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2520,511823,汉源县,COUNTY,5118,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2521,511824,石棉县,COUNTY,5118,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2522,511825,天全县,COUNTY,5118,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2523,511826,芦山县,COUNTY,5118,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2524,511827,宝兴县,COUNTY,5118,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2525,5119,巴中市,CITY,51,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2526,511902,巴州区,COUNTY,5119,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2527,511903,恩阳区,COUNTY,5119,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2528,511921,通江县,COUNTY,5119,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2529,511922,南江县,COUNTY,5119,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2530,511923,平昌县,COUNTY,5119,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2531,5120,资阳市,CITY,51,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2532,512002,雁江区,COUNTY,5120,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2533,512021,安岳县,COUNTY,5120,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2534,512022,乐至县,COUNTY,5120,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2535,5132,阿坝藏族羌族自治州,CITY,51,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2536,513201,马尔康市,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2537,513221,汶川县,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2538,513222,理县,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2539,513223,茂县,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2540,513224,松潘县,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2541,513225,九寨沟县,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2542,513226,金川县,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2543,513227,小金县,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2544,513228,黑水县,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2545,513230,壤塘县,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2546,513231,阿坝县,COUNTY,5132,2023-09-11 00:00:00,2023-09-11 00:00:00,0
